chr	start	end	ATAC	CTCF	REST	EP300
chr20	60000	60200	U	U	U	U
chr20	67400	67600	U	U	U	U
chr20	68400	68600	U	U	U	U
chr20	69200	69400	U	U	U	U
chr20	74600	74800	U	U	U	U
chr20	82600	82800	U	U	U	U
chr20	84000	84200	U	U	U	U
chr20	84200	84400	U	U	U	U
chr20	84400	84600	U	U	U	U
chr20	87200	87400	U	U	U	U
chr20	87400	87600	U	U	U	U
chr20	87600	87800	U	U	U	U
chr20	87800	88000	U	U	U	U
chr20	88000	88200	U	U	U	U
chr20	88200	88400	U	U	U	U
chr20	88400	88600	U	U	U	U
chr20	88600	88800	U	U	U	U
chr20	91800	92000	U	U	U	U
chr20	93800	94000	U	U	U	U
chr20	95800	96000	U	U	U	U
chr20	96000	96200	U	U	U	U
chr20	96400	96600	U	U	U	U
chr20	96600	96800	U	U	U	U
chr20	96800	97000	U	U	U	U
chr20	97000	97200	U	U	U	U
chr20	101600	101800	U	U	U	U
chr20	110400	110600	U	U	U	U
chr20	110600	110800	U	U	U	U
chr20	110800	111000	U	U	U	U
chr20	111000	111200	U	U	U	U
chr20	111200	111400	U	U	U	U
chr20	111400	111600	U	U	U	U
chr20	111600	111800	U	U	U	U
chr20	121000	121200	U	U	U	U
chr20	121200	121400	U	U	U	U
chr20	121600	121800	U	U	U	U
chr20	121800	122000	U	U	U	U
chr20	122200	122400	U	U	U	U
chr20	142400	142600	U	U	U	U
chr20	142600	142800	U	U	U	U
chr20	142800	143000	U	U	U	U
chr20	143800	144000	U	U	U	U
chr20	144000	144200	U	U	U	U
chr20	144600	144800	U	U	U	U
chr20	144800	145000	U	U	U	U
chr20	145200	145400	U	U	U	U
chr20	146400	146600	U	U	U	U
chr20	146600	146800	U	U	U	U
chr20	148200	148400	U	U	U	U
chr20	148400	148600	U	U	U	U
chr20	154800	155000	U	U	U	U
chr20	155000	155200	U	U	U	U
chr20	155200	155400	U	U	U	U
chr20	155800	156000	U	U	U	U
chr20	156000	156200	U	U	U	U
chr20	157200	157400	U	U	U	U
chr20	157400	157600	U	U	U	U
chr20	157600	157800	U	U	U	U
chr20	158200	158400	U	U	U	U
chr20	158400	158600	U	U	U	U
chr20	158600	158800	U	U	U	U
chr20	158800	159000	U	U	U	U
chr20	159000	159200	U	U	U	U
chr20	159200	159400	U	U	U	U
chr20	159800	160000	U	U	U	U
chr20	165600	165800	U	U	U	U
chr20	166000	166200	U	U	U	U
chr20	166200	166400	U	U	U	U
chr20	170200	170400	U	U	U	U
chr20	170800	171000	U	U	U	U
chr20	182000	182200	U	U	U	U
chr20	182200	182400	U	U	U	U
chr20	182400	182600	U	U	U	U
chr20	182600	182800	U	U	U	U
chr20	182800	183000	U	U	U	U
chr20	187600	187800	U	U	U	U
chr20	187800	188000	U	U	U	U
chr20	188000	188200	U	U	U	U
chr20	188200	188400	U	U	U	U
chr20	188600	188800	U	U	U	U
chr20	188800	189000	U	U	U	U
chr20	189400	189600	U	U	U	U
chr20	189600	189800	U	U	U	U
chr20	189800	190000	U	U	U	U
