chr	start	end	ATAC	CTCF	REST	EP300
chr21	5010200	5010400	U	U	U	U
chr21	5011600	5011800	U	U	U	U
chr21	5012400	5012600	U	U	U	U
chr21	5012600	5012800	U	U	U	U
chr21	5013200	5013400	U	U	U	U
chr21	5014400	5014600	U	U	U	U
chr21	5014600	5014800	U	U	U	U
chr21	5015000	5015200	U	U	U	U
chr21	5015200	5015400	U	U	U	U
chr21	5015400	5015600	U	U	U	U
chr21	5015600	5015800	U	U	U	U
chr21	5015800	5016000	U	U	U	U
chr21	5016000	5016200	U	U	U	U
chr21	5016400	5016600	U	U	U	U
chr21	5016600	5016800	U	U	U	U
chr21	5016800	5017000	U	U	U	U
chr21	5017000	5017200	U	U	U	U
chr21	5017200	5017400	U	U	U	U
chr21	5017400	5017600	U	U	U	U
chr21	5017800	5018000	U	U	U	U
chr21	5018000	5018200	U	U	U	U
chr21	5018200	5018400	U	U	U	U
chr21	5019800	5020000	U	U	U	U
chr21	5020400	5020600	U	U	U	U
chr21	5021000	5021200	U	U	U	U
chr21	5021400	5021600	U	U	U	U
chr21	5022200	5022400	B	U	U	U
chr21	5022800	5023000	B	U	U	U
chr21	5023000	5023200	U	U	U	U
chr21	5023200	5023400	U	U	U	U
chr21	5023400	5023600	U	U	U	U
chr21	5023600	5023800	U	U	U	U
chr21	5024000	5024200	U	U	U	U
chr21	5024200	5024400	U	U	U	U
chr21	5024400	5024600	U	U	U	U
chr21	5024800	5025000	U	U	U	U
chr21	5025000	5025200	U	U	U	U
chr21	5025200	5025400	U	U	U	U
chr21	5025800	5026000	U	U	U	U
chr21	5026000	5026200	U	U	U	U
chr21	5026200	5026400	U	U	U	U
chr21	5026400	5026600	U	U	U	U
chr21	5026600	5026800	U	U	U	U
chr21	5027600	5027800	U	U	U	U
chr21	5027800	5028000	U	U	U	U
chr21	5028000	5028200	U	U	U	U
chr21	5028200	5028400	U	U	U	U
chr21	5031800	5032000	U	U	U	U
chr21	5032000	5032200	U	U	U	U
chr21	5032800	5033000	U	U	U	U
chr21	5033000	5033200	U	U	U	U
chr21	5033200	5033400	U	U	U	U
chr21	5033400	5033600	U	U	U	U
chr21	5034200	5034400	U	U	U	U
chr21	5034400	5034600	U	U	U	U
chr21	5034600	5034800	U	U	U	U
chr21	5034800	5035000	U	U	U	U
chr21	5035000	5035200	U	U	U	U
chr21	5035200	5035400	U	U	U	U
chr21	5035400	5035600	U	U	U	U
chr21	5035600	5035800	U	U	U	U
chr21	5035800	5036000	U	U	U	U
chr21	5036000	5036200	U	U	U	U
chr21	5036200	5036400	U	U	U	U
chr21	5036400	5036600	U	U	U	U
chr21	5036600	5036800	U	U	U	U
