chr	start	end	ATAC	CTCF	REST	EP300
chr16	11600	11800	U	U	U	U
chr16	11800	12000	U	U	U	U
chr16	12000	12200	U	U	U	U
chr16	12200	12400	U	U	U	U
chr16	12400	12600	U	U	U	U
chr16	12600	12800	U	U	U	U
chr16	12800	13000	U	U	U	U
chr16	13000	13200	U	U	U	U
chr16	13200	13400	U	U	U	U
chr16	13400	13600	U	U	U	U
chr16	13600	13800	U	U	U	U
chr16	13800	14000	U	U	U	U
chr16	14000	14200	U	U	U	U
chr16	14200	14400	U	U	U	U
chr16	14400	14600	U	U	U	U
chr16	14600	14800	U	U	U	U
chr16	15200	15400	U	U	U	U
chr16	15600	15800	U	U	U	U
chr16	15800	16000	U	U	U	U
chr16	16000	16200	U	U	U	U
chr16	16600	16800	U	U	U	U
chr16	16800	17000	U	U	U	U
chr16	17000	17200	U	U	U	U
chr16	17200	17400	U	U	U	U
chr16	17400	17600	U	U	U	U
chr16	17600	17800	U	U	U	U
chr16	17800	18000	U	U	U	U
chr16	18000	18200	U	U	U	U
chr16	18200	18400	U	U	U	U
chr16	19200	19400	U	U	U	U
chr16	25000	25200	U	U	U	U
chr16	26200	26400	U	U	U	U
chr16	26400	26600	U	U	U	U
chr16	28600	28800	U	U	U	U
chr16	28800	29000	U	U	U	U
chr16	29000	29200	U	U	U	U
chr16	29200	29400	U	U	U	U
chr16	29800	30000	U	U	U	U
chr16	30000	30200	U	U	U	U
chr16	30600	30800	U	U	U	U
chr16	30800	31000	U	U	U	U
chr16	31000	31200	U	U	U	U
chr16	31200	31400	U	U	U	U
chr16	31400	31600	U	U	U	U
chr16	31600	31800	U	U	U	U
chr16	31800	32000	U	U	U	U
chr16	32000	32200	U	U	U	U
chr16	32200	32400	U	U	U	U
chr16	32400	32600	U	U	U	U
chr16	32600	32800	U	U	U	U
chr16	32800	33000	U	U	U	U
chr16	33200	33400	U	U	U	U
chr16	33800	34000	U	U	U	U
chr16	34000	34200	U	U	U	U
chr16	34200	34400	U	U	U	U
chr16	34400	34600	U	U	U	U
chr16	34600	34800	U	U	U	U
chr16	34800	35000	U	U	U	U
chr16	35000	35200	U	U	U	U
chr16	35200	35400	U	U	U	U
chr16	35400	35600	U	U	U	U
chr16	35600	35800	U	U	U	U
chr16	35800	36000	U	U	U	U
chr16	36000	36200	U	U	U	U
chr16	36200	36400	U	U	U	U
chr16	37400	37600	U	U	U	U
chr16	38200	38400	U	U	U	U
chr16	39000	39200	U	U	U	U
chr16	39200	39400	U	U	U	U
chr16	43600	43800	U	U	U	U
chr16	46800	47000	U	U	U	U
chr16	47000	47200	U	U	U	U
chr16	47200	47400	U	U	U	U
chr16	47400	47600	U	U	U	U
chr16	48200	48400	U	U	U	U
chr16	51400	51600	U	U	U	U
chr16	53600	53800	B	U	U	U
chr16	53800	54000	B	U	U	U
chr16	55200	55400	U	U	U	U
chr16	55400	55600	U	U	U	U
chr16	55600	55800	U	U	U	U
chr16	55800	56000	U	U	U	U
chr16	56200	56400	U	U	U	U
chr16	56400	56600	U	U	U	U
chr16	56600	56800	U	U	U	U
chr16	56800	57000	U	U	U	U
chr16	57000	57200	U	U	U	U
chr16	57200	57400	U	U	U	U
chr16	57400	57600	U	U	U	U
chr16	57600	57800	U	U	U	U
chr16	57800	58000	U	U	U	U
chr16	58000	58200	U	U	U	U
chr16	58200	58400	U	U	U	U
chr16	58400	58600	U	U	U	U
chr16	58600	58800	U	U	U	U
chr16	58800	59000	U	U	U	U
chr16	59000	59200	U	U	U	U
chr16	59200	59400	U	U	U	U
chr16	59400	59600	U	U	U	U
chr16	59600	59800	U	U	U	U
chr16	59800	60000	U	U	U	U
chr16	60000	60200	U	U	U	U
chr16	60200	60400	U	U	U	U
chr16	60400	60600	U	U	U	U
chr16	61000	61200	U	U	U	U
chr16	61400	61600	U	U	U	U
chr16	61600	61800	U	U	U	U
chr16	61800	62000	U	U	U	U
chr16	62000	62200	U	U	U	U
chr16	62200	62400	U	U	U	U
chr16	62400	62600	U	U	U	U
chr16	62600	62800	U	U	U	U
chr16	62800	63000	U	U	U	U
chr16	63200	63400	U	U	U	U
chr16	63600	63800	U	U	U	U
chr16	63800	64000	U	U	U	U
chr16	64000	64200	U	U	U	U
chr16	64200	64400	U	U	U	U
chr16	64600	64800	U	U	U	U
chr16	64800	65000	U	U	U	U
chr16	65000	65200	U	U	U	U
chr16	65600	65800	B	B	B	U
chr16	65800	66000	B	B	B	U
